[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ route_check ] --START--
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | SQL: SELECT COUNT(*) AS tp_count FROM `goods` LIMIT 1   [ RunTime:0.000000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | SQL: SELECT * FROM `goods` LIMIT 0,5   [ RunTime:0.001000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ view_template ] --START--
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T05:30:56+08:00 ] /index.php/Admin/Goods/admin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
