[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Tag[ route_check ] --START--
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2015-07-21T05:53:09+08:00 ] /index.php/Admin/Goods/editOK | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 868 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 868 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 868 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 868 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8] Use of undefined constant MAGIC_QUOTES_GPC - assumed 'MAGIC_QUOTES_GPC' Model.class.php 第 868 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-07-21T05:53:10+08:00 ] /index.php/Admin/Goods/editOK | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
