[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Tag[ route_check ] --START--
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-07-21T07:56:44+08:00 ] /index.php/Admin/Goods/addOK | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --START--
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | SQL: SELECT * FROM `category` WHERE cid>0  [ RunTime:0.000000s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --START--
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-07-21T07:58:59+08:00 ] /index.php/Admin/Goods/add | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
