[ 2015-07-22T05:50:20+08:00 ] /index.php/Admin/admin | ERR: (ThinkException) 无法加载模块admin
[ 2015-07-22T05:50:27+08:00 ] /index.php/Admin/admin/login | ERR: (ThinkException) 无法加载模块admin
[ 2015-07-22T05:50:32+08:00 ] /index.php/Admin/login | ERR: (ThinkException) 无法加载模块login
[ 2015-07-22T05:50:50+08:00 ] /index.php/Admin/admin/login | ERR: (ThinkException) 无法加载模块admin
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | ERR: (ThinkException) 非法操作admin
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Tag[ route_check ] --START--
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Tag[ app_begin ] --START--
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | NOTIC: [2] file(): Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2015-07-22T05:51:02+08:00 ] /index.php/Index/admin/login | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
